article_id,published_date,publisher,linked_ticker_count,linked_tickers,stratum,title,summary,classification_status,is_relevant,relevance_type,primary_company,primary_industry,event_type,target_company_sentiment,news_scope,expected_competitor_effect,materiality,confidence,reasoning_short,model,estimated_cost_usd,classified_at
588af8d516b7016b16a5fb7fea659c4fc53207e2dc49efcd90c23009556c781c,2026-03-26,Yahoo,1,NVDA,semiconductors_ai__firm_event,OpenClaw is taking the tech world by storm. Here's what you need to know about it,OpenClaw is getting a lot of attention from AI enthusiasts and boosters. Here's what it is and why it matters.,success,true,industry_news,OpenClaw,semiconductors_ai,product_or_technology,positive,industry_wide,same_direction_contagion,3.0,2.0,The piece appears to be about an AI technology trend that could affect Nvidia’s semiconductor ecosystem and peers.,gpt-5.4-mini,0.0,2026-06-21T21:25:01+00:00
dd457efd59d851e1705cc8053ca34070610cc98105215ff40986caf32ea3bc84,2025-10-06,Yahoo,1,C,banks_finance__market_roundup_or_advice,The $2.6 Billion Bond Blowup Wall Street Didn't See Coming,"A Ferrari-driving ex-broker used 11,000x leverage--and left global lenders holding a $250 million mess.",success,true,market_roundup_but_relevant,C,banks_finance,other,negative,firm_specific,neutral_or_no_clear_effect,3.0,3.0,"The piece concerns a large bond loss involving global lenders and is relevant to bank/finance risk sentiment, though it is not clearly about Citigroup specifically.",gpt-5.4-mini,0.0,2026-06-21T21:21:27+00:00
41efd17d5b497cf1bb5003ba6f265a1378393ebaef04975b1d7121296a01420f,2025-10-23,MarketWatch,1,TSLA,autos_ev__firm_event,This underrated Tesla business deserves more attention — and it’s not AI,This underrated Tesla business deserves more attention — and it’s not AI,success,true,target_company_news,TSLA,autos_ev,product_or_technology,positive,firm_specific,neutral_or_no_clear_effect,3.0,3.0,The article is about a specific Tesla business segment and its strategic importance.,gpt-5.4-mini,0.0,2026-06-21T21:18:54+00:00
53263f2d0eaaf53450d8c990e7ffe9842ae90d54632598b5c5004016e4b60f59,2025-11-20,SeekingAlpha,3,AMZN;MSFT;NVDA,big_tech_cloud__analyst_or_earnings,Amazon: OpenAI Deal Is A Game Changer,"Discover why Amazon (AMZN) is a top long-term growth stock, with strong AWS performance, upside potential, and a compelling valuation.",success,true,target_company_news,AMZN,big_tech_cloud,partnership_or_contract,positive,firm_specific,negative_for_competitors,3.0,3.0,"The article centers on Amazon’s OpenAI-related AWS deal and its growth implications, which is relevant to cloud competitors.",gpt-5.4-mini,0.0,2026-06-21T21:22:11+00:00
5bd2b51cb35371fdc020b444a0848b89843588ac791d68953e8f53abd967ea73,2025-11-21,Yahoo,1,MSFT,big_tech_cloud__firm_event,How Database Vendor MongoDB Aims To Capitalize On Artificial Intelligence,"As AI redefines what it means to be a database firm, MongoDB stock could get a boost from the software maker's ""nonrelational"" DNA.",success,true,competitor_company_news,MongoDB,big_tech_cloud,product_or_technology,positive,industry_wide,same_direction_contagion,3.0,3.0,"The piece discusses MongoDB’s AI-related positioning, which is relevant to cloud/software competitors like Microsoft.",gpt-5.4-mini,0.0,2026-06-21T21:22:34+00:00
2c7bb8994bd34a8d121d30067df3431ad12abb2c2fba97ca709203110f7f7d8b,2025-11-22,Yahoo,1,GOOGL,big_tech_cloud__market_roundup_or_advice,Is Cipher Mining Inc. (CIFR) One of the Best Cryptocurrency Stocks to Buy for the Long Term?,"Cipher Mining Inc. (NASDAQ:CIFR) is one of the best cryptocurrency stocks to buy for the long term. On November 20, Cipher Mining Inc. (NASDAQ:CIFR) said it had struck a 10-year AI-hosting agreement with Fluidstack valued at roughly $830 million. The deal will bring the company’s Barber Lake facility in Texas up to its full 300-megawatt […]",success,true,competitor_company_news,Cipher Mining (CIFR),big_tech_cloud,partnership_or_contract,positive,firm_specific,same_direction_contagion,3.0,3.0,Cipher Mining’s AI-hosting contract is relevant to cloud/AI infrastructure demand and may signal similar benefits for related firms.,gpt-5.4-mini,0.0,2026-06-21T21:23:20+00:00
96a96b40eb64f4bd88c2acef3e699df869b7f12456588f5f476d32754214e672,2026-01-22,Yahoo,1,AAL,airlines_travel__firm_event,What A Cuba Takeover Could Mean For U.S. Stocks: Trump Regime Change Report,President Donald Trump is reportedly targeting regime change in Cuba before the end of 2026. These are stocks that could get a boost.,success,true,macro_policy_news,Cuba,airlines_travel,macro_rates_tariffs_oil_geopolitics,positive,macro_wide,same_direction_contagion,3.0,3.0,"A potential Cuba policy shift could affect travel demand and routes for airlines, including AAL.",gpt-5.4-mini,0.0,2026-06-21T21:17:17+00:00
b0a5e3a0311f031cbbb2ac27e5bbcd0dceda7556472c56183a9308dc6b383f39,2026-01-23,Yahoo,1,META,big_tech_cloud__macro_policy,How did Davos turn into a tech conference?,"The World Economic Forum’s annual meeting in Davos felt different this year, and not just because Meta and Salesforce took over storefronts on the main promenade. AI dominated the conversation in a way that overshadowed traditional topics like climate change and global poverty, and the CEOs weren’t holding back. There was public criticism of trade policy, warnings about AI […]",success,true,macro_policy_news,META,big_tech_cloud,macro_rates_tariffs_oil_geopolitics,mixed,macro_wide,same_direction_contagion,3.0,3.0,"The Davos piece highlights AI and trade-policy concerns affecting big tech broadly, including Meta.",gpt-5.4-mini,0.0,2026-06-21T21:30:39+00:00
1352ba0d9f3bdae7262cd541066b3116798329a17651fe7256f8304644ad6040,2026-05-20,CNBC,3,BAC;C;JPM,banks_finance__other_unclear,Goldman Sachs leads SpaceX IPO: Here's what you need to know,CNBC’s Leslie Picker reports on the latest news from SpaceX.,success,true,competitor_company_news,SpaceX,other,merger_acquisition_investment,positive,firm_specific,neutral_or_no_clear_effect,3.0,3.0,"The article concerns SpaceX’s IPO and Goldman Sachs’ role, which is relevant to finance-sector deal activity.",gpt-5.4-mini,0.0,2026-06-21T21:21:58+00:00
80fb954a9dd4dc34239f6b7cdfefabfb188cfbcc6c142e48b029e82f1aa51a9d,2026-05-20,Benzinga,2,BAC;JPM,banks_finance__other_unclear,Elon Musk's SpaceX Hopes To Raise $80 Billion In IPO With Goldman Sachs's Help: What Do Prediction Markets Say?,"SpaceX is targeting $80 billion or more in its IPO, which would make it the largest ever, with Goldman Sachs reportedly winning the lead role over Morgan Stanley.",success,true,competitor_company_news,SpaceX,banks_finance,merger_acquisition_investment,positive,firm_specific,neutral_or_no_clear_effect,3.0,3.0,"The article is about SpaceX’s planned IPO and Goldman Sachs’ role, which is relevant to investment banking competitors like JPM and BAC.",gpt-5.4-mini,0.0,2026-06-21T21:22:00+00:00
